Date,Quarter,Close,PE
2005-01-03,2005-Q1,57.475,14.226485148514852
2005-01-04,2005-Q1,60.25,14.913366336633665
2005-01-05,2005-Q1,58.725,14.535891089108912
2005-01-06,2005-Q1,58.75,14.542079207920793
2005-01-07,2005-Q1,65.3375,16.172648514851485
2005-01-10,2005-Q1,68.3125,16.909034653465348
2005-01-11,2005-Q1,70.50000000000001,17.45049504950495
2005-01-12,2005-Q1,68.52500000000002,16.96163366336634
2005-01-13,2005-Q1,79.6625,19.718440594059405
2005-01-14,2005-Q1,75.56250000000001,18.70358910891089
2005-01-17,2005-Q1,74.46250000000002,18.43131188118812
2005-01-18,2005-Q1,74.33750000000002,18.40037128712872
2005-01-19,2005-Q1,74.28750000000001,18.387995049504948
2005-01-20,2005-Q1,73.06250000000001,18.08477722772277
2005-01-21,2005-Q1,73.06250000000001,18.08477722772277
2005-01-24,2005-Q1,76.26250000000003,18.876856435643564
2005-01-25,2005-Q1,74.50000000000003,18.44059405940594
2005-01-26,2005-Q1,74.50000000000003,18.44059405940594
2005-01-27,2005-Q1,73.68750000000003,18.2394801980198
2005-01-28,2005-Q1,73.80000000000003,18.267326732673265
2005-01-31,2005-Q1,73.62500000000004,18.224009900990097
2005-02-01,2005-Q1,72.73750000000003,18.004331683168317
2005-02-02,2005-Q1,72.25000000000004,17.883663366336634
2005-02-03,2005-Q1,72.47500000000004,17.939356435643564
2005-02-04,2005-Q1,71.08750000000006,17.59591584158416
2005-02-07,2005-Q1,72.31250000000004,17.899133663366335
2005-02-08,2005-Q1,71.95000000000006,17.80940594059406
2005-02-09,2005-Q1,74.36250000000005,18.406559405940595
2005-02-10,2005-Q1,73.47500000000005,18.18688118811881
2005-02-11,2005-Q1,74.71250000000006,18.493193069306933
2005-02-14,2005-Q1,74.42500000000005,18.422029702970296
2005-02-15,2005-Q1,73.08750000000006,18.090965346534656
2005-02-16,2005-Q1,73.28750000000005,18.1404702970297
2005-02-17,2005-Q1,72.61250000000005,17.97339108910891
2005-02-18,2005-Q1,72.80000000000005,18.01980198019801
2005-02-21,2005-Q1,71.77500000000006,17.766089108910894
2005-02-22,2005-Q1,70.82500000000006,17.530940594059405
2005-02-23,2005-Q1,71.06250000000006,17.589727722772277
2005-02-24,2005-Q1,72.62500000000006,17.97648514851485
2005-02-25,2005-Q1,72.56250000000006,17.96101485148515
2005-02-28,2005-Q1,72.30000000000005,17.896039603960396
