Date,Quarter,Close,PE
2005-01-03,2005-Q1,17.405,6.5187265917603
2005-01-04,2005-Q1,17.005,6.368913857677902
2005-01-05,2005-Q1,16.58,6.209737827715355
2005-01-06,2005-Q1,16.735000000000003,6.2677902621722845
2005-01-07,2005-Q1,16.505000000000003,6.181647940074906
2005-01-10,2005-Q1,16.25,6.086142322097379
2005-01-11,2005-Q1,15.96,5.977528089887641
2005-01-12,2005-Q1,15.285,5.724719101123596
2005-01-13,2005-Q1,15.685,5.8745318352059925
2005-01-14,2005-Q1,16.010000000000005,5.996254681647941
2005-01-17,2005-Q1,15.845000000000002,5.934456928838952
2005-01-18,2005-Q1,16.485,6.174157303370786
2005-01-19,2005-Q1,16.165,6.0543071161048685
2005-01-20,2005-Q1,15.940000000000001,5.9700374531835205
2005-01-21,2005-Q1,15.940000000000001,5.9700374531835205
2005-01-24,2005-Q1,15.715000000000002,5.885767790262173
2005-01-25,2005-Q1,15.675,5.870786516853933
2005-01-26,2005-Q1,15.675,5.870786516853933
2005-01-27,2005-Q1,15.865000000000002,5.941947565543072
2005-01-28,2005-Q1,16.04,6.007490636704119
2005-01-31,2005-Q1,18.39,6.887640449438202
2005-02-01,2005-Q1,17.88,6.6966292134831455
2005-02-02,2005-Q1,18.03,6.752808988764046
2005-02-03,2005-Q1,18.649999999999995,6.98501872659176
2005-02-04,2005-Q1,18.129999999999995,6.790262172284644
2005-02-07,2005-Q1,17.954999999999995,6.724719101123595
2005-02-08,2005-Q1,17.895,6.702247191011236
2005-02-09,2005-Q1,17.87,6.692883895131087
2005-02-10,2005-Q1,18.78,7.03370786516854
2005-02-11,2005-Q1,19.014999999999997,7.121722846441948
2005-02-14,2005-Q1,19.394999999999996,7.264044943820225
2005-02-15,2005-Q1,19.024999999999995,7.125468164794008
2005-02-16,2005-Q1,18.869999999999997,7.067415730337079
2005-02-17,2005-Q1,18.904999999999998,7.080524344569289
2005-02-18,2005-Q1,19.004999999999995,7.117977528089887
2005-02-21,2005-Q1,18.884999999999998,7.07303370786517
2005-02-22,2005-Q1,18.784999999999997,7.03558052434457
2005-02-23,2005-Q1,18.639999999999993,6.9812734082397006
2005-02-24,2005-Q1,18.544999999999995,6.945692883895132
2005-02-25,2005-Q1,18.279999999999994,6.846441947565544
2005-02-28,2005-Q1,18.069999999999993,6.7677902621722845
2005-03-01,2005-Q1,18.004999999999992,2.113262910798122
2005-03-02,2005-Q1,18.30999999999999,2.149061032863849
2005-03-03,2005-Q1,18.789999999999992,2.205399061032864
2005-03-04,2005-Q1,21.10999999999999,2.477699530516432
2005-03-07,2005-Q1,21.09999999999999,2.4765258215962445
2005-03-08,2005-Q1,21.64499999999999,2.540492957746479
2005-03-09,2005-Q1,20.84999999999999,2.447183098591549
2005-03-10,2005-Q1,20.70999999999999,2.4307511737089205
2005-03-11,2005-Q1,22.56999999999999,2.64906103286385
2005-03-14,2005-Q1,22.16999999999999,2.6021126760563384
2005-03-15,2005-Q1,21.94999999999999,2.5762910798122065
2005-03-16,2005-Q1,21.584999999999987,2.5334507042253525
2005-03-17,2005-Q1,21.159999999999986,2.483568075117371
2005-03-18,2005-Q1,20.97999999999999,2.462441314553991
2005-03-21,2005-Q1,20.804999999999986,2.4419014084507045
2005-03-22,2005-Q1,19.99499999999999,2.346830985915493
2005-03-23,2005-Q1,19.39499999999999,2.276408450704225
2005-03-24,2005-Q1,19.42499999999999,2.279929577464789
2005-03-25,2005-Q1,19.42499999999999,2.279929577464789
2005-03-28,2005-Q1,19.704999999999988,2.312793427230047
2005-03-29,2005-Q1,19.35499999999999,2.2717136150234745
2005-03-30,2005-Q1,19.38999999999999,2.2758215962441315
