Date,Quarter,Close,PE
2005-01-03,2005-Q1,56.28,10.288848263254112
2005-01-04,2005-Q1,56.086667,10.253504021937845
2005-01-05,2005-Q1,52.28,9.557586837294334
2005-01-06,2005-Q1,53.553333,9.790371663619744
2005-01-07,2005-Q1,53.853333,9.845216270566729
2005-01-10,2005-Q1,54.88,10.03290676416819
2005-01-11,2005-Q1,53.48,9.776965265082266
2005-01-12,2005-Q1,50.63333299999999,9.256550822669103
2005-01-13,2005-Q1,53.886666999999996,9.851310237659964
2005-01-14,2005-Q1,53.733333,9.823278427787937
2005-01-17,2005-Q1,53.726667,9.822059780621572
2005-01-18,2005-Q1,56.81333300000001,10.386349725776968
2005-01-19,2005-Q1,56.48666700000001,10.32663016453382
2005-01-20,2005-Q1,54.65333300000002,9.991468555758685
2005-01-21,2005-Q1,54.65333300000002,9.991468555758685
2005-01-24,2005-Q1,55.01333300000002,10.057282084095066
2005-01-25,2005-Q1,53.760000000000005,9.828153564899452
2005-01-26,2005-Q1,53.760000000000005,9.828153564899452
2005-01-27,2005-Q1,53.080000000000005,9.703839122486288
2005-01-28,2005-Q1,53.81333300000001,9.83790365630713
2005-01-31,2005-Q1,52.67333300000001,9.629494149908592
2005-02-01,2005-Q1,53.39333300000001,9.761121206581352
2005-02-02,2005-Q1,52.813333000000014,9.655088299817184
2005-02-03,2005-Q1,55.06666700000002,10.0670323583181
2005-02-04,2005-Q1,53.853333000000006,9.845216270566729
2005-02-07,2005-Q1,55.493333000000014,10.145033455210235
2005-02-08,2005-Q1,53.360000000000014,9.755027422303474
2005-02-09,2005-Q1,53.35333300000001,9.753808592321755
2005-02-10,2005-Q1,53.360000000000014,9.755027422303474
2005-02-11,2005-Q1,54.06000000000002,9.882998171846436
2005-02-14,2005-Q1,54.56666700000002,9.975624680073128
2005-02-15,2005-Q1,53.466667000000015,9.774527787934186
2005-02-16,2005-Q1,53.460000000000015,9.77330895795247
2005-02-17,2005-Q1,53.27333300000002,9.73918336380256
2005-02-18,2005-Q1,51.413333000000016,9.399146800731264
2005-02-21,2005-Q1,51.413333000000016,9.399146800731264
2005-02-22,2005-Q1,56.76000000000001,10.376599634369288
2005-02-23,2005-Q1,55.16666700000001,10.085313893967092
2005-02-24,2005-Q1,55.98666700000001,10.235222486288848
2005-02-25,2005-Q1,54.80000000000001,10.018281535648994
2005-02-28,2005-Q1,54.88000000000002,10.03290676416819
2005-03-01,2005-Q1,54.180000000000014,7.091623036649215
2005-03-02,2005-Q1,55.00000000000002,7.198952879581152
2005-03-03,2005-Q1,54.58000000000002,7.143979057591623
2005-03-04,2005-Q1,54.30000000000002,7.107329842931937
2005-03-07,2005-Q1,54.16666700000002,7.089877879581152
2005-03-08,2005-Q1,53.94666700000001,7.061082068062827
2005-03-09,2005-Q1,53.733333000000016,7.033158769633508
2005-03-10,2005-Q1,54.71333300000002,7.161431020942408
2005-03-11,2005-Q1,53.90666700000001,7.055846465968586
2005-03-14,2005-Q1,52.280000000000015,6.842931937172775
2005-03-15,2005-Q1,52.280000000000015,6.842931937172775
