Date,Quarter,Close,PE
2005-01-03,2005-Q1,40.55,
2005-01-04,2005-Q1,39.9,
2005-01-05,2005-Q1,36.95,
2005-01-06,2005-Q1,36.0,
2005-01-07,2005-Q1,38.25,
2005-01-10,2005-Q1,37.75000000000001,
2005-01-11,2005-Q1,35.150000000000006,
2005-01-12,2005-Q1,32.25000000000001,
2005-01-13,2005-Q1,35.150000000000006,
2005-01-14,2005-Q1,34.80000000000001,
2005-01-17,2005-Q1,35.000000000000014,
2005-01-18,2005-Q1,34.80000000000001,
2005-01-19,2005-Q1,34.000000000000014,
2005-01-20,2005-Q1,32.95000000000001,
2005-01-21,2005-Q1,32.95000000000001,
2005-01-24,2005-Q1,31.650000000000006,
2005-01-25,2005-Q1,32.50000000000001,
2005-01-26,2005-Q1,32.50000000000001,
2005-01-27,2005-Q1,31.550000000000008,
2005-01-28,2005-Q1,32.50000000000001,
2005-01-31,2005-Q1,33.50000000000001,
2005-02-01,2005-Q1,33.650000000000006,
2005-02-02,2005-Q1,34.20000000000001,
2005-02-03,2005-Q1,34.550000000000004,
2005-02-04,2005-Q1,33.70000000000001,
2005-02-07,2005-Q1,33.35,
2005-02-08,2005-Q1,33.550000000000004,
2005-02-09,2005-Q1,34.1,
2005-02-10,2005-Q1,33.75000000000001,
2005-02-11,2005-Q1,33.45,
2005-02-14,2005-Q1,33.20000000000001,
2005-02-15,2005-Q1,32.75000000000001,
2005-02-16,2005-Q1,32.550000000000004,
2005-02-17,2005-Q1,32.2,
2005-02-18,2005-Q1,32.5,
2005-02-21,2005-Q1,32.4,
2005-02-22,2005-Q1,33.9,
2005-02-23,2005-Q1,33.75,
2005-02-24,2005-Q1,34.599999999999994,
2005-02-25,2005-Q1,34.99999999999999,
2005-02-28,2005-Q1,35.449999999999996,
2005-03-01,2005-Q1,35.29999999999998,12.047781569965869
2005-03-02,2005-Q1,36.04999999999999,12.303754266211602
2005-03-03,2005-Q1,38.44999999999999,13.122866894197951
2005-03-04,2005-Q1,37.64999999999999,12.849829351535837
2005-03-07,2005-Q1,38.149999999999984,13.020477815699657
2005-03-08,2005-Q1,37.949999999999996,12.95221843003413
2005-03-09,2005-Q1,35.99999999999999,12.286689419795222
2005-03-10,2005-Q1,36.849999999999994,12.57679180887372
2005-03-11,2005-Q1,37.1,12.662116040955633
2005-03-14,2005-Q1,36.64999999999999,12.50853242320819
2005-03-15,2005-Q1,35.949999999999996,12.26962457337884
2005-03-16,2005-Q1,35.74999999999999,12.20136518771331
2005-03-17,2005-Q1,35.0,11.945392491467576
2005-03-18,2005-Q1,34.14999999999999,11.655290102389078
2005-03-21,2005-Q1,34.49999999999999,11.774744027303754
2005-03-22,2005-Q1,33.199999999999996,11.331058020477816
2005-03-23,2005-Q1,32.099999999999994,10.955631399317406
2005-03-24,2005-Q1,31.949999999999996,10.90443686006826
2005-03-25,2005-Q1,31.949999999999996,10.90443686006826
2005-03-28,2005-Q1,32.599999999999994,11.126279863481228
2005-03-29,2005-Q1,31.649999999999995,10.802047781569964
2005-03-30,2005-Q1,32.3,11.023890784982934
2005-03-31,2005-Q1,32.8,11.194539249146755
2005-04-01,2005-Q2,33.25,11.348122866894196
2005-04-04,2005-Q2,32.75,11.177474402730375
2005-04-05,2005-Q2,32.2,10.989761092150172
2005-04-06,2005-Q2,32.4,11.0580204778157
2005-04-07,2005-Q2,32.6,11.126279863481228
2005-04-08,2005-Q2,33.05,11.279863481228668
2005-04-11,2005-Q2,33.05,11.279863481228668
2005-04-12,2005-Q2,33.05,11.279863481228668
2005-04-13,2005-Q2,32.9,11.22866894197952
2005-04-14,2005-Q2,32.9,11.22866894197952
2005-04-15,2005-Q2,32.49999999999999,11.092150170648464
2005-04-18,2005-Q2,31.999999999999996,10.92150170648464
2005-04-19,2005-Q2,31.049999999999997,10.59726962457338
2005-04-20,2005-Q2,31.0,10.580204778156997
2005-04-21,2005-Q2,31.8,10.853242320819112
2005-04-22,2005-Q2,31.9,10.887372013651875
2005-04-25,2005-Q2,32.1,10.955631399317406
2005-04-26,2005-Q2,32.25,11.006825938566552
2005-04-27,2005-Q2,31.849999999999998,10.870307167235495
2005-04-28,2005-Q2,31.399999999999995,10.716723549488052
2005-04-29,2005-Q2,30.049999999999997,10.255972696245731
2005-05-02,2005-Q2,30.099999999999994,10.273037542662117
2005-05-03,2005-Q2,30.049999999999994,10.255972696245731
2005-05-04,2005-Q2,30.09999999999999,10.273037542662117
2005-05-05,2005-Q2,31.09999999999999,10.61433447098976
2005-05-06,2005-Q2,30.399999999999984,10.37542662116041
2005-05-09,2005-Q2,31.099999999999987,10.61433447098976
2005-05-10,2005-Q2,31.499999999999982,10.75085324232082
2005-05-11,2005-Q2,31.099999999999987,10.61433447098976
2005-05-12,2005-Q2,30.899999999999984,10.546075085324231
2005-05-13,2005-Q2,30.699999999999985,10.477815699658702
2005-05-16,2005-Q2,30.899999999999984,10.546075085324231
2005-05-17,2005-Q2,30.799999999999986,10.511945392491468
2005-05-18,2005-Q2,33.149999999999984,11.313993174061432
2005-05-19,2005-Q2,34.649999999999984,11.8259385665529
2005-05-20,2005-Q2,33.94999999999999,11.58703071672355
2005-05-23,2005-Q2,33.94999999999999,11.58703071672355
2005-05-24,2005-Q2,33.69999999999999,11.50170648464164
2005-05-25,2005-Q2,33.399999999999984,11.399317406143345
2005-05-26,2005-Q2,32.899999999999984,11.22866894197952
2005-05-27,2005-Q2,32.74999999999999,11.177474402730375
