Date,Quarter,Close,PE
2005-01-03,2005-Q1,23.622388,32.35943561643836
2005-01-04,2005-Q1,23.711194000000003,32.48108767123288
2005-01-05,2005-Q1,21.668657,29.68309178082192
2005-01-06,2005-Q1,21.26903,29.135657534246576
2005-01-07,2005-Q1,21.446642000000004,29.37896164383562
2005-01-10,2005-Q1,22.512313,30.838784931506847
2005-01-11,2005-Q1,21.402239,29.31813561643836
2005-01-12,2005-Q1,20.025746,27.43252876712329
2005-01-13,2005-Q1,21.313432999999996,29.19648356164384
2005-01-14,2005-Q1,21.135820999999996,28.9531794520548
2005-01-17,2005-Q1,20.691790999999995,28.34491917808219
2005-01-18,2005-Q1,20.514178999999995,28.10161506849315
2005-01-19,2005-Q1,20.203357999999998,27.67583287671233
2005-01-20,2005-Q1,20.203357999999998,27.67583287671233
2005-01-21,2005-Q1,20.203357999999998,27.67583287671233
2005-01-24,2005-Q1,19.226492999999998,26.33766164383562
2005-01-25,2005-Q1,18.871269,25.851053424657536
2005-01-26,2005-Q1,18.871269,25.851053424657536
2005-01-27,2005-Q1,19.448506999999996,26.641790410958905
2005-01-28,2005-Q1,19.537313,26.763442465753428
2005-01-31,2005-Q1,19.359701,26.520138356164384
2005-02-01,2005-Q1,19.49291,26.702616438356163
2005-02-02,2005-Q1,19.581715999999997,26.824268493150687
2005-02-03,2005-Q1,19.892536999999997,27.25005068493151
2005-02-04,2005-Q1,19.981342999999995,27.371702739726025
2005-02-07,2005-Q1,20.336566999999995,27.85831095890411
2005-02-08,2005-Q1,21.579850999999998,29.5614397260274
2005-02-09,2005-Q1,22.379104,30.656306849315072
2005-02-10,2005-Q1,21.846268999999996,29.92639589041096
2005-02-11,2005-Q1,21.846268999999996,29.92639589041096
2005-02-14,2005-Q1,21.224626999999998,29.07483150684932
2005-02-15,2005-Q1,20.780596999999993,28.46657123287672
2005-02-16,2005-Q1,20.69179099999999,28.34491917808219
2005-02-17,2005-Q1,20.647387999999992,28.28409315068493
